
> dev
> next dev

▲ Next.js 16.3.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.0.0.178:3000
- Environments: .env.local
✓ Ready in 291ms
✓ Running next.config.ts took 21ms
- Cache Components enabled

 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 17ms (next.js: 3ms, proxy.ts: 2ms, application-code: 11ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 24ms (next.js: 3ms, proxy.ts: 3ms, application-code: 19ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 16ms (next.js: 1.6ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 1.8ms, proxy.ts: 2ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 17ms (next.js: 3ms, proxy.ts: 2ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 15ms (next.js: 2.0ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 16ms (next.js: 1.8ms, proxy.ts: 2ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 16ms (next.js: 4ms, proxy.ts: 1.8ms, application-code: 11ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 16ms (next.js: 1.7ms, proxy.ts: 2ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 16ms (next.js: 1.8ms, proxy.ts: 2ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 21ms (next.js: 4ms, proxy.ts: 2ms, application-code: 15ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 15ms (next.js: 2ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 4ms, proxy.ts: 2ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 19ms (next.js: 4ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 14ms (next.js: 1.6ms, proxy.ts: 2ms, application-code: 10ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 3ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 42ms (next.js: 5ms, proxy.ts: 5ms, application-code: 33ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 25ms (next.js: 4ms, proxy.ts: 3ms, application-code: 18ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 28ms (next.js: 3ms, proxy.ts: 3ms, application-code: 22ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 28ms (next.js: 4ms, proxy.ts: 4ms, application-code: 20ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 30ms (next.js: 5ms, proxy.ts: 3ms, application-code: 23ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 35ms (next.js: 6ms, proxy.ts: 9ms, application-code: 20ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 41ms (next.js: 5ms, proxy.ts: 4ms, application-code: 31ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 33ms (next.js: 4ms, proxy.ts: 8ms, application-code: 21ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 66ms (next.js: 18ms, proxy.ts: 16ms, application-code: 32ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 26ms (next.js: 3ms, proxy.ts: 2ms, application-code: 21ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 19ms (next.js: 2ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 20ms (next.js: 4ms, proxy.ts: 2ms, application-code: 14ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 17ms (next.js: 3ms, proxy.ts: 2ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 15ms (next.js: 1.9ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 3ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 19ms (next.js: 3ms, proxy.ts: 2ms, application-code: 14ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 16ms (next.js: 1.8ms, proxy.ts: 2ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 14ms (next.js: 1.6ms, proxy.ts: 2ms, application-code: 10ms)
 GET / 200 in 38ms (next.js: 14ms, proxy.ts: 2ms, application-code: 22ms)
 GET /api/me 200 in 49ms (next.js: 27ms, proxy.ts: 5ms, application-code: 17ms)
